,0,1,2,3
70,2.5,Level 3,28:be:03:fb:26:60,2019-12-08 05:44:18.24 UTC
71,2.5,Level 3,00:34:da:1f:5c:6c,2019-12-10 10:54:31.131 UTC
72,2.5,Level 3,58:d9:c3:4b:3f:71,2019-12-03 07:31:24.665 UTC
73,2.5,Level 3,c0:25:e9:7f:32:c1,2019-12-19 11:40:22.637 UTC
74,2.5,Level 3,64:c2:de:39:b4:8f,2019-12-30 17:07:53.512 UTC
75,2.5,Level 3,a8:96:75:6e:a4:77,2019-12-11 14:23:31.09 UTC
76,2.5,Level 3,e0:c9:7a:62:18:47,2019-12-15 16:50:26.293 UTC
77,2.5,Level 3,78:f8:82:e8:3e:3d,2019-12-19 11:43:43.919 UTC
78,2.5,Level 3,d0:c5:f3:6d:8a:18,2019-12-19 20:41:04.403 UTC
79,2.5,Level 3,50:92:b9:54:42:bc,2019-12-19 21:31:19.425 UTC
80,2.5,Level 3,e8:e8:b7:60:0d:25,2019-12-14 01:05:10.27 UTC
81,2.5,Level 3,48:49:c7:a8:e8:40,2019-12-03 18:21:00.837 UTC
82,2.5,Level 3,8c:45:00:aa:6c:f2,2019-12-07 18:58:02.935 UTC
83,2.5,Level 3,48:49:c7:cd:9a:46,2019-12-11 17:23:27.458 UTC
84,2.5,Level 3,30:4b:07:a3:3b:dd,2019-12-17 13:57:31.772 UTC
85,2.5,Level 3,a8:51:5b:f8:a4:b2,2019-12-01 05:48:28.231 UTC
86,2.5,Level 3,da:a1:19:e4:af:bf,2019-12-12 08:29:11.001 UTC
87,2.5,Level 3,a8:16:d0:41:fa:a1,2019-12-16 07:13:11.649 UTC
88,2.5,Level 3,00:16:98:1c:ff:13,2019-12-29 04:55:56.414 UTC
89,2.5,Level 3,4c:ed:fb:51:6a:c9,2019-12-03 08:43:53.287 UTC
90,2.5,Level 3,44:fe:3b:4f:f6:82,2019-12-10 08:27:09.56 UTC
91,2.5,Level 3,38:9a:f6:ca:26:83,2019-12-11 10:37:14.852 UTC
92,2.5,Level 3,0c:b6:d2:3e:03:6e,2019-12-18 04:25:58.112 UTC
93,2.5,Level 3,5a:10:8c:86:3c:34,2019-12-01 12:23:13.511 UTC
94,2.5,Level 3,18:01:f1:5c:9d:80,2019-12-13 04:37:49.235 UTC
95,2.5,Level 3,b0:ca:68:3c:ca:ee,2019-12-14 01:45:05.322 UTC
96,2.5,Level 3,fc:64:3a:c9:bf:90,2019-12-18 19:31:51.742 UTC
97,2.5,Level 3,98:39:8e:b3:6d:e9,2019-12-24 04:16:21.829 UTC
98,2.5,Level 3,fc:64:3a:70:5f:f6,2019-12-29 09:27:55.686 UTC
99,2.5,Level 3,58:10:8c:86:3c:34,2019-12-01 12:22:58.945 UTC
100,2.5,Level 3,f4:06:16:4f:d8:ad,2019-12-01 14:13:25.386 UTC
101,2.5,Level 3,08:c5:e1:8c:0c:c6,2019-12-12 10:08:10.272 UTC
102,2.5,Level 3,80:58:f8:b1:28:c9,2019-12-01 09:47:23.265 UTC
103,2.5,Level 3,70:bb:e9:ea:ad:a1,2019-12-14 22:50:39.541 UTC
104,2.5,Level 3,7c:8b:b5:da:21:a3,2019-12-16 03:56:29.251 UTC
105,2.5,Level 3,b0:be:76:2f:41:47,2019-12-05 04:07:17.074 UTC
106,2.5,Level 3,8c:b8:4a:3e:6a:37,2019-12-10 06:56:06.7 UTC
107,2.5,Level 3,d8:96:85:bd:71:40,2019-12-15 06:11:23.32 UTC
108,2.5,Level 3,a0:c9:a0:8f:49:c4,2019-12-16 10:30:44.787 UTC
109,2.5,Level 3,ba:98:03:25:91:45,2019-12-23 22:57:10.243 UTC
110,2.5,Level 3,90:e1:7b:81:55:2d,2019-12-15 11:33:53.406 UTC
111,2.5,Level 3,58:b1:0f:3e:fb:c2,2019-12-15 18:25:40.862 UTC
112,2.5,Level 3,dc:bf:e9:46:e1:6a,2019-12-20 23:40:29.851 UTC
113,2.5,Level 3,ac:c1:ee:8e:b4:9d,2019-12-24 08:57:11.126 UTC
114,2.5,Level 3,a8:b8:6e:28:a4:97,2019-12-25 05:35:15.242 UTC
115,2.5,Level 3,fc:64:3a:47:57:12,2019-12-01 03:40:18.177 UTC
116,2.5,Level 3,08:c5:e1:8c:0c:c6,2019-12-12 10:08:10.273 UTC
117,2.5,Level 3,c0:a6:00:cf:fe:e7,2019-12-20 06:35:58.184 UTC
118,2.5,Level 3,d4:63:c6:83:ba:40,2019-12-30 16:01:44.288 UTC
119,2.5,Level 3,58:e6:ba:48:30:b5,2019-12-15 12:58:50.498 UTC
120,2.5,Level 3,58:10:8c:86:3c:34,2019-12-21 09:40:05.86 UTC
121,2.5,Level 3,8c:f1:12:ee:9a:a7,2019-12-01 03:45:02.235 UTC
122,2.5,Level 3,8c:45:00:85:50:d7,2019-12-09 08:44:38.251 UTC
123,2.5,Level 3,4a:b0:48:73:12:1d,2019-12-21 15:26:03.714 UTC
124,2.5,Level 3,a8:16:d0:7f:bd:bf,2019-12-22 11:10:42.424 UTC
125,2.5,Level 3,b0:be:76:2f:41:47,2019-12-23 02:50:12.317 UTC
126,2.5,Level 3,e8:e8:b7:60:0d:25,2019-12-14 01:05:10.271 UTC
127,2.5,Level 3,24:46:c8:5e:2f:e0,2019-12-22 09:16:24.525 UTC
128,2.5,Level 3,b8:27:eb:11:6e:db,2019-12-24 02:28:41.319 UTC
129,2.5,Level 3,40:98:ad:57:55:26,2019-12-03 04:08:49.148 UTC
130,2.5,Level 3,da:a1:19:8c:df:93,2019-12-11 03:36:51.234 UTC
131,2.5,Level 3,5c:af:06:0f:51:3f,2019-12-11 06:04:33.179 UTC
132,2.5,Level 3,1c:91:48:4c:0f:39,2019-12-17 04:07:08.129 UTC
133,2.5,Level 3,18:01:f1:61:1e:7c,2019-12-23 16:05:29.314 UTC
134,2.5,Level 3,b0:be:76:2f:41:47,2019-12-23 20:13:10.754 UTC
135,2.5,Level 3,98:39:8e:b3:6d:e9,2019-12-24 04:19:44.3 UTC
136,2.5,Level 3,64:70:33:ab:05:08,2019-12-09 05:40:49.129 UTC
137,2.5,Level 3,40:83:1d:24:17:65,2019-12-09 09:34:04.37 UTC
138,2.5,Level 3,98:39:8e:81:88:2d,2019-12-27 06:28:43.288 UTC
139,2.5,Level 3,70:bb:e9:ea:ad:a1,2019-12-28 10:23:15.257 UTC
140,2.5,Level 3,b0:be:76:2f:41:47,2019-12-07 16:38:31.911 UTC
141,2.5,Level 3,58:10:8c:86:3c:34,2019-12-21 10:17:41.303 UTC
142,2.5,Level 3,b0:be:76:2f:41:47,2019-12-23 12:12:39.975 UTC
143,2.5,Level 3,38:9a:f6:6b:50:7d,2019-12-23 23:02:42.374 UTC
144,2.5,Level 3,68:c4:4d:c3:73:70,2019-12-21 18:07:29.438 UTC
145,2.5,Level 3,d4:6a:6a:fe:27:63,2019-12-28 18:15:53.4 UTC
146,2.5,Level 3,98:ca:33:bc:e2:25,2019-12-01 10:46:32.52 UTC
147,2.5,Level 3,4a:8c:6f:ee:95:25,2019-12-04 15:58:05.953 UTC
148,2.5,Level 3,b0:be:76:2f:41:47,2019-12-08 23:48:54.319 UTC
149,2.5,Level 3,00:0a:f5:2b:f1:7c,2019-12-04 23:07:35.501 UTC
150,2.5,Level 3,0c:cb:85:b9:a8:c3,2019-12-07 07:25:55.194 UTC
151,2.5,Level 3,20:55:31:74:ab:12,2019-12-21 09:30:11.261 UTC
152,2.5,Level 3,58:10:8c:86:3c:34,2019-12-21 21:19:22.322 UTC
153,2.5,Level 3,10:98:c3:c9:84:55,2019-12-21 23:56:41.12 UTC
154,2.5,Level 3,5a:10:8c:86:3c:34,2019-12-23 09:51:11.933 UTC
155,2.5,Level 3,7c:8b:b5:54:39:bb,2019-12-29 05:39:40.401 UTC
156,2.5,Level 3,b8:27:eb:11:6e:db,2019-12-10 03:43:51.24 UTC
157,2.5,Level 3,8c:f1:12:89:4a:aa,2019-12-18 04:10:06.131 UTC
158,2.5,Level 3,70:fd:46:28:5e:04,2019-12-20 09:24:43.649 UTC
159,2.5,Level 3,80:58:f8:eb:60:4c,2019-12-22 15:43:45.836 UTC
160,2.5,Level 3,60:ab:67:92:2b:66,2019-12-30 09:41:39.828 UTC
161,2.5,Level 3,6c:e8:5c:5a:07:e3,2019-12-01 06:17:42.196 UTC
162,2.5,Level 3,c0:8c:71:6b:a4:8d,2019-12-01 15:18:05.976 UTC
163,2.5,Level 3,88:b2:91:37:0f:af,2019-12-19 04:46:39.209 UTC
164,2.5,Level 3,8c:f1:12:83:42:da,2019-12-29 19:16:21.755 UTC
165,2.5,Level 3,b0:be:76:2f:41:47,2019-12-07 18:38:53.572 UTC
166,2.5,Level 3,d4:c9:4b:b6:ac:cd,2019-12-24 16:33:12.247 UTC
167,2.5,Level 3,00:9d:6b:e7:fb:0f,2019-12-27 20:03:51.916 UTC
168,2.5,Level 3,fc:64:3a:89:66:2a,2019-12-18 01:03:31.305 UTC
169,2.5,Level 3,5a:10:8c:86:3c:34,2019-12-22 11:35:26.461 UTC
170,2.5,Level 3,38:9a:f6:d1:c8:a5,2019-12-22 05:33:38.107 UTC
171,2.5,Level 3,f0:d7:aa:92:e2:75,2019-12-23 11:55:44.909 UTC
172,2.5,Level 3,b0:be:76:2f:41:47,2019-12-25 17:45:12.01 UTC
173,2.5,Level 3,b8:27:eb:11:6e:db,2019-12-08 11:29:33.718 UTC
174,2.5,Level 3,c0:9a:d0:aa:96:72,2019-12-13 12:07:41.796 UTC
175,2.5,Level 3,da:a1:19:19:c9:6d,2019-12-19 06:28:10.171 UTC
176,2.5,Level 3,8c:57:9b:e5:77:3f,2019-12-23 07:23:56.42 UTC
177,2.5,Level 3,fc:64:3a:1c:32:40,2019-12-03 10:29:00.604 UTC
178,2.5,Level 3,48:5f:99:76:e2:47,2019-12-20 04:52:06.253 UTC
179,2.5,Level 3,ac:57:75:7a:21:a7,2019-12-05 16:22:53.54 UTC
180,2.5,Level 3,58:e6:ba:48:30:b5,2019-12-15 13:32:22.305 UTC
181,2.5,Level 3,30:cb:f8:bf:0f:b8,2019-12-09 06:55:37.545 UTC
182,2.5,Level 3,08:c5:e1:a4:c6:e8,2019-12-17 07:03:54.732 UTC
183,2.5,Level 3,48:fd:a3:ef:05:31,2019-12-18 22:16:08.622 UTC
184,2.5,Level 3,50:92:b9:54:42:bc,2019-12-19 21:31:19.289 UTC
185,2.5,Level 3,58:d9:c3:0a:f5:09,2019-12-08 14:51:47.447 UTC
186,2.5,Level 3,98:39:8e:05:d1:a3,2019-12-10 06:00:22.154 UTC
187,2.5,Level 3,fc:64:3a:b8:a1:00,2019-12-02 20:37:09.597 UTC
188,2.5,Level 3,6c:96:cf:c3:fc:de,2019-12-03 04:20:59.295 UTC
189,2.5,Level 3,0c:b6:d2:3e:03:6e,2019-12-18 04:13:27.083 UTC
190,2.5,Level 3,30:07:4d:b7:ad:05,2019-12-17 08:28:57.07 UTC
191,2.5,Level 3,a8:b8:6e:28:a4:97,2019-12-25 03:37:23.095 UTC
192,2.5,Level 3,80:0c:67:52:68:15,2019-12-23 20:45:00.112 UTC
193,2.5,Level 3,d4:61:9d:f1:ce:6c,2019-12-01 09:56:56.469 UTC
194,2.5,Level 3,50:92:b9:c5:42:0c,2019-12-06 05:44:47.095 UTC
195,2.5,Level 3,a8:96:75:da:a4:2d,2019-12-18 12:37:07.735 UTC
196,2.5,Level 3,0c:b6:d2:3e:03:6e,2019-12-20 05:07:24.01 UTC
197,2.5,Level 3,38:9a:f6:0a:48:a5,2019-12-07 07:35:07.95 UTC
198,2.5,Level 3,14:96:e5:5c:ca:8b,2019-12-09 04:41:15.171 UTC
199,2.5,Level 3,48:49:c7:99:fa:ec,2019-12-15 12:40:30.404 UTC
200,2.5,Level 3,98:39:8e:4f:f3:f9,2019-12-22 11:48:10.528 UTC
201,2.5,Level 3,a8:51:5b:f8:a4:b2,2019-12-01 05:49:40.268 UTC
202,2.5,Level 3,4a:e8:69:c6:ab:24,2019-12-10 08:00:29.124 UTC
203,2.5,Level 3,48:fd:a3:ef:05:31,2019-12-18 22:16:08.63 UTC
204,2.5,Level 3,00:3d:e8:b5:5b:7a,2019-12-21 18:02:52.051 UTC
205,2.5,Level 3,80:0c:67:0e:f4:af,2019-12-22 11:59:38.474 UTC
206,2.5,Level 3,48:a9:1c:55:43:43,2019-12-24 04:32:19.084 UTC
207,2.5,Level 3,f0:98:9d:ef:ae:dd,2019-12-29 10:17:48.41 UTC
208,2.5,Level 3,10:d0:7a:c6:c4:19,2019-12-07 10:12:29.341 UTC
209,2.5,Level 3,58:d9:c3:71:10:47,2019-12-18 19:17:53.57 UTC
210,2.5,Level 3,5a:10:8c:86:3c:34,2019-12-21 22:37:14.635 UTC
211,2.5,Level 3,38:9a:f6:d1:c8:a5,2019-12-22 05:33:38.108 UTC
212,2.5,Level 3,94:fb:29:63:5b:37,2019-12-28 18:45:51.063 UTC
213,2.5,Level 3,bc:98:df:e0:c5:8c,2019-12-20 02:03:47.377 UTC
214,2.5,Level 3,e8:9e:b4:65:5d:cb,2019-12-21 04:48:15.266 UTC
215,2.5,Level 3,10:d0:7a:c6:c4:19,2019-12-24 22:15:33.612 UTC
216,2.5,Level 3,b0:be:76:2f:41:47,2019-12-25 16:54:13.864 UTC
217,2.5,Level 3,58:10:8c:86:3c:34,2019-12-21 07:59:20.701 UTC
218,2.5,Level 3,da:57:19:bc:5d:5e,2019-12-25 17:14:14.17 UTC
219,2.5,Level 3,f4:06:16:dc:88:c6,2019-12-01 09:25:54.49 UTC
220,2.5,Level 3,74:d2:1d:d7:a5:00,2019-12-08 20:06:52.579 UTC
221,2.5,Level 3,b8:27:eb:11:6e:db,2019-12-14 06:34:41.409 UTC
222,2.5,Level 3,d4:11:a3:4d:44:f3,2019-12-04 23:00:40.286 UTC
223,2.5,Level 3,30:4b:07:72:aa:c1,2019-12-14 10:33:35.327 UTC
224,2.5,Level 3,f0:8a:76:72:2b:f2,2019-12-17 23:58:31.279 UTC
225,2.5,Level 3,70:bb:e9:ea:ad:a1,2019-12-28 09:31:46.901 UTC
226,2.5,Level 3,30:4b:07:94:65:10,2019-12-03 05:12:29.324 UTC
227,2.5,Level 3,b0:6e:bf:d6:2b:f4,2019-12-09 11:15:35.317 UTC
228,2.5,Level 3,f4:f5:24:b8:73:dd,2019-12-13 08:16:43.277 UTC
229,2.5,Level 3,b4:f1:da:fc:d9:9c,2019-12-30 07:23:15.243 UTC
230,2.5,Level 3,b8:08:d7:a9:2f:ea,2019-12-02 18:42:45.719 UTC
231,2.5,Level 3,0c:b6:d2:3e:03:6e,2019-12-18 05:43:42.092 UTC
232,2.5,Level 3,8c:f1:12:1b:91:2b,2019-12-19 10:53:21.067 UTC
233,2.5,Level 3,7c:8b:b5:94:9c:bd,2019-12-29 09:15:16.172 UTC
234,2.5,Level 3,24:1b:7a:af:68:df,2019-12-06 18:34:08.503 UTC
235,2.5,Level 3,48:49:c7:19:1d:d6,2019-12-06 05:18:44.247 UTC
236,2.5,Level 3,b0:be:76:2f:41:47,2019-12-07 08:52:02.193 UTC
237,2.5,Level 3,8c:45:00:85:50:d7,2019-12-09 08:44:38.252 UTC
238,2.5,Level 3,da:a1:19:3f:3a:15,2019-12-21 04:07:56.394 UTC
239,2.5,Level 3,bc:98:df:b2:e5:5e,2019-12-12 16:30:59.925 UTC
240,2.5,Level 3,7c:d6:61:58:b4:71,2019-12-22 09:58:03.475 UTC
241,2.5,Level 3,f8:a2:d6:f8:a8:3d,2019-12-09 09:44:22.664 UTC
242,2.5,Level 3,e0:89:7e:9d:cf:60,2019-12-22 05:40:32.177 UTC
243,2.5,Level 3,e8:2a:ea:8f:2d:43,2019-12-27 18:45:37.619 UTC
244,2.5,Level 3,6c:e8:5c:5a:07:e3,2019-12-01 06:17:42.195 UTC
245,2.5,Level 3,e8:91:20:51:d4:27,2019-12-06 09:17:38.874 UTC
246,2.5,Level 3,ca:86:74:28:b9:62,2019-12-19 00:19:24.225 UTC
247,2.5,Level 3,b0:be:76:2f:41:47,2019-12-24 18:14:21.679 UTC
248,2.5,Level 3,a8:b8:6e:28:a4:97,2019-12-25 05:35:15.241 UTC
249,2.5,Level 3,d0:77:14:f2:32:a6,2019-12-04 18:40:54.638 UTC
250,2.5,Level 3,0c:b6:d2:3e:03:6e,2019-12-08 04:44:49.103 UTC
251,2.5,Level 3,0c:b6:d2:3e:03:6e,2019-12-18 04:12:06.105 UTC
252,2.5,Level 3,e4:9a:79:56:af:51,2019-12-21 10:24:28.247 UTC
253,2.5,Level 3,38:9a:f6:08:92:a7,2019-12-23 12:25:19.879 UTC
254,2.5,Level 3,e8:50:8b:4a:52:39,2019-12-27 20:54:42.927 UTC
255,2.5,Level 3,bc:98:df:f2:1b:d1,2019-12-01 12:33:14.934 UTC
256,2.5,Level 3,a8:16:d0:88:94:f7,2019-12-10 22:45:32.71 UTC
257,2.5,Level 3,08:8c:2c:f3:03:da,2019-12-12 11:24:17.728 UTC
258,2.5,Level 3,48:2c:a0:65:d5:b3,2019-12-12 23:52:36.367 UTC
259,2.5,Level 3,6c:4d:73:98:06:fd,2019-12-03 08:44:45.5 UTC
